任务ID,单次游戏,综合项数,类型1,类型2,次数1,次数2,任务说明（暂停界面里用）,完成条件,数目,,奖励类型,任务奖励,任务奖励,任务积分,,
0,0,1,-1,-1,-1,-1,完成教学任务,完成教学任务,,,0,200,200金币,100,任务1,
1,0,1,9,-1,2,-1,尽情享受游戏乐趣~累计完成2次游戏！,剩余,X,次,1,4,金箍棒,20,任务2,
2,1,1,3,-1,30,-1,单次游戏中，获得30个金币。,剩余,X,个,0,50,50金币,15,任务3,
3,0,1,10,-1,10,-1,消灭10只搬仓鼠（累计）,剩余,X,,2,2,追捕距离X2,15,任务4,
4,0,1,6,-1,1,-1,试试运气吧~进行1次幸运抽奖,进行1次幸运抽奖,,,1,0,冲锋加速,15,任务5,
5,0,1,15,-1,1,-1,体验变化的快乐！完成1次变身。,完成1次变身,,,1,0,冲锋加速,20,任务6,
6,1,2,1,2,1000,1250,在1000米和1250米之间结束游戏！！,请满足设定条件,,,0,50,50金币,20,任务7,
7,0,1,17,-1,1,-1,贝塔贝塔贝塔！开坦克的贝塔！,变身为贝塔1次,,,1,4,金箍棒,20,任务8,
8,1,2,0,4,800,0,单次游戏不获得金币，达到800米！,请满足设定条件,,,0,50,50金币,25,任务9,
9,1,1,10,-1,15,-1,单次游戏中，消灭15只搬仓鼠。,剩余,X,只,0,50,50金币,15,任务10,
10,0,1,16,-1,1,-1,一根藤上七色花~,变身为葫芦娃1次,,,1,6,替身术,30,任务11,
11,0,1,7,-1,2,-1,幸运抽奖成功2次（累计）,剩余,X,次,0,65,65金币,20,任务12,
12,0,1,5,-1,2,-1,获得一级警员肩章。,菜单变身强化界面可获得,,,2,3,追捕距离X3,100,任务13,
13,0,1,14,-1,0,-1,快使用一次冲锋加速道具吧~,开始时点击道具图标使用,,,0,60,60金币,50,任务14,
14,1,1,6,-1,2,-1,单次游戏中，进行2次以上抽奖。,剩余,X,次,0,65,65金币,20,任务15,
15,0,1,19,-1,1,-1,呔！看我抽你龙筋扒你龙皮！,变身为哪吒1次,,,1,2,爆破炸弹,20,任务16,
